,delay_orig_date,size,billet_size,cobble,hot_out,delay_from,delay_to,delay_minutes,total_delay_hm,area,device,agency,reason,description,delay_event_date,delay_start_time,delay_end_time,relation_status,related_df2_rows,sr,section,last_occurrence_date,date_capa,datetime_from,datetime_to,capa_delay_minutes,equipment,problem_description,restart_steps,one_year,two_year,three_year,four_year,five_year,corrective_action,preventive_action,responsibility,target_date,status,actual_action_taken,capa_event_date,capa_start_time,capa_end_time,capa_orig_date
10,2024-01-05 00:00:00,25 mm,150X150,1,1.0,2024-05-01 11:26:17,2024-05-01 11:30:18,4.016666666666667,00:04,APRON LINE,ART,MECHANICAL,UNDERSHOOT,BAR CAME OUT FROM ART AT COOLING BED,2024-01-05,2024-01-05 11:26:17,2024-01-05 11:30:18,related,[233],428,25 mm,,,2024-05-01 11:26:00,2024-05-01 11:42:00,17,ART,BAR CAME OUT FROM ART AT COOLING BED,COBBLE REMOVED AND MILL STARTED,FRONT END CAME OUT FROM APRON INTERMEDIATE POSITION,INTERMEDIATE POSITION MISMATCHED NEAR TAIL BREAKER,HYDRAULIC PRESSURE NOT HOLD IN CLYLINDER NO. 2,CHECK VALVE NOT HOLDNG THE PRESSURE,,HYDRAULIC PRESSURE & ART POSITION TO BE CHECKED FOR ENTIRE APRON BEFORE EVERY  CENTERLINE,"1. POSSIBILITY OF PR GUAGE FIXING IN EACH LINE TO BE CHECKED
2. HYDRAULIC PRESSURE & ART POSITION TO BE CHECKED FOR ENTIRE APRON BEFORE EVERY  CENTERLINE  
3. POSSIBILITY OF CHANGING CYLINDER TO LVDT OR DOUBLE PISTON TO BE ENVISAGED",,,DONE ,INTERMEDEATE POSITION REQUIRED FOR DOUBLE PISTON CYLINDER,2024-01-05,2024-01-05 11:26:00,2024-01-05 11:42:00,2024-01-05 00:00:00
11,2024-01-06 00:00:00,8 mm,150X150,1,1.0,2024-06-01 02:38:13,2024-06-01 02:53:13,15.0,00:15,BGV,BGV 2,EXTERNAL BILLET,EXTERNAL BILLET,"HEAD COBBLE IN LINE 2 BGV DUE TO CHIPS IN STAND 22 E GUIDE, HEAT NO 3189842 EXTERNAL BILLETS OF 150.",2024-01-06,2024-01-06 02:38:13,2024-01-06 02:53:13,related,[234],431,8 mm,,,2024-06-01 02:38:00,2024-06-01 02:53:00,15,BGV 2,"HEAD COBBLE IN LINE 2 BGV DUE TO CHIPS IN STAND 22 E GUIDE, HEAT NO 3189842 EXTERNAL BILLETS OF 150.","CHIPS REMOVED, COBBLE REMOVED AND MILL STARTED",COBBLE DUE TO CHIPS IN BGV LINE 2 STAND 22 E GUIDE,CHIPS CARRY OVER AND STUCK,,,,CHIPS TO BE REMOVED ON REGULAT INTERVAL,"1. FREQUENCY OF CHIPS CHECKING TO BE PLANNED
2. RANDOM CHECK FOR CHIPS REMOVAL IN MILL TO BE ENSURED BY AREA INCHARGE",,,DONE ,,2024-01-06,2024-01-06 02:38:00,2024-01-06 02:53:00,2024-01-06 00:00:00
12,2024-01-06 00:00:00,8 mm,150X150,1,1.0,2024-06-01 03:10:38,2024-06-01 03:24:56,14.3,00:14,BGV,BGV 1,EXTERNAL BILLET,EXTERNAL BILLET,"HEAD COBBLE IN LINE 1  BGV DUE TO CHIPS IN RE GUIDE OS STAND 20 .( 1C+1H), HEAT NO 3189842 EXTERNAL 150 BILLETS.",2024-01-06,2024-01-06 03:10:38,2024-01-06 03:24:56,related,[235],432,8 mm,,,2024-06-01 03:10:00,2024-06-01 03:24:00,14,BGV 1,"HEAD COBBLE IN LINE 1  BGV DUE TO CHIPS IN RE GUIDE OS STAND 20 .( 1C+1H), HEAT NO 3189842 EXTERNAL 150 BILLETS.","CHIPS REMOVED, COBBLE REMOVED AND MILL STARTED",COBBLE DUE TO CHIPS IN BGV LINE 1 RE GUIDE STAND 20 FUNNEL,CHIPS CARRY OVER AND STUCK,,,,CHIPS TO BE REMOVED ON REGULAT INTERVAL,"1. FREQUENCY OF CHIPS CHECKING TO BE PLANNED
2. RANDOM CHECK FOR CHIPS REMOVAL IN MILL TO BE ENSURED BY AREA INCHARGE",,,DONE ,,2024-01-06,2024-01-06 03:10:00,2024-01-06 03:24:00,2024-01-06 00:00:00
13,2024-01-06 00:00:00,8 mm,150X150,1,1.0,2024-06-01 03:35:55,2024-06-01 03:51:45,15.833333333333334,00:16,BGV,BGV 1,EXTERNAL BILLET,EXTERNAL BILLET,HEAD COBBLE IN LINE 1 BGV DUE TO CHIPS IN DELIVERY OF STAND 18. EXTERNAL BILLET OF 150 HEAT NO 3189843 ( 1C+1H),2024-01-06,2024-01-06 03:35:55,2024-01-06 03:51:45,related,[236],433,8 mm,,,2024-06-01 03:35:00,2024-06-01 03:51:00,16,BGV 1,HEAD COBBLE IN LINE 1 BGV DUE TO CHIPS IN DELIVERY OF STAND 18. EXTERNAL BILLET OF 150 HEAT NO 3189843 ( 1C+1H),"CHIPS REMOVED, COBBLE REMOVED AND MILL STARTED",COBBLE DUE TO CHIPS IN BGV LINE 1 DELIVERY IN #18,CHIPS CARRY OVER AND STUCK,,,,CHIPS TO BE REMOVED ON REGULAT INTERVAL,"1. FREQUENCY OF CHIPS CHECKING TO BE PLANNED
2. RANDOM CHECK FOR CHIPS REMOVAL IN MILL TO BE ENSURED BY AREA INCHARGE",,,DONE ,,2024-01-06,2024-01-06 03:35:00,2024-01-06 03:51:00,2024-01-06 00:00:00
14,2024-01-06 00:00:00,8 mm,150X150,1,1.0,2024-06-01 05:16:37,2024-06-01 05:30:19,13.7,00:14,BGV,BGV 1,OPERATION,MATERIAL BROKEN,COBBLE IN LINE 1 DUE TO  MATERIAL BROKEN IN BGV 1 AT 95 % SPEED .(1C+1H),2024-01-06,2024-01-06 05:16:37,2024-01-06 05:30:19,related,[237],434,8 mm,,,2024-06-01 05:16:00,2024-06-01 05:30:00,14,BGV 1,COBBLE IN LINE 1 DUE TO  MATERIAL BROKEN IN BGV 1 AT 95 % SPEED .(1C+1H),MATERIAL CLEARED & MILL STARTED AT 90% FROM 95%,MATERIAL BROKEN WHEN SPEED GRADUALLY INCREASED TO 94% SPEED,FLUTTERING BEFORE PINCH ROLL 3,,,,1) MILL SPPED TO BE REDUCED BY 2-3% AND STARTED TILL OBSERVTION  FROM PROPOSED ACTION,"1. FLUTTEREING OCCURS GENERALLY BECAUSE OF WATER PRESSURE AND FLOW ISSUE IN WB, NEXT TIME WATER PRESSURE FOR  WB1 TO BE KEPT 8 BAR & 10-11 BAR IN WB2 & ACCORDINGLY AGT AND YS  AND FLUTTERING TO BE OBSERVED
2. TO STUDY AND ANALYZING THE PROPER CAUSE, NEED TO INSTALL PT WITH DISPLAY AND GRAPH IN INDIVIDUAL TAPPING OF WB 1 AND 2
3. PINCH ROLL 2 & 3, RING TO BE CHECKED FOR ANY CROSSING/ALIGNMENT OUT
4. PR PRESSURE SHOULD BE ,AINTAINED SSAME IN ALL PR (4.5 BAR)
",,,DONE ,,2024-01-06,2024-01-06 05:16:00,2024-01-06 05:30:00,2024-01-06 00:00:00
15,2024-01-06 00:00:00,12 mm,150X150,1,2.0,2024-06-01 22:45:22,2024-06-01 23:02:26,17.066666666666666,00:17,BGV,CVR,MECHANICAL,CARRY FORWARD,COBBLE DUE TO CARRY FORWARDED FROM CVR_1,2024-01-06,2024-01-06 22:45:22,2024-01-06 23:02:26,related,[238],435,12 mm,,,2024-06-01 22:45:00,2024-06-01 23:02:00,17,CVR_1,COBBLE DUE TO CARRY FORWARDED FROM CVR_1,DIVERTOR CHANGED AND MILL STARTED,COBBLE DUE TO CARRY FORWARD,TAIL CARRY FORWADED OF PREVIOUS BILLET,DURING TAIL CHOPPING  ONE PIECE GOES IN LINE ,,,DIVERTOR CHANGED AND RESET & MILL STARTED,"1. DIVERTOR CHANGED ,BLADE CHECK ",,,DONE ,,2024-01-06,2024-01-06 22:45:00,2024-01-06 23:02:00,2024-01-06 00:00:00
16,2024-01-07 00:00:00,12 mm,150X150,1,2.0,2024-07-01 13:21:32,2024-07-01 13:36:53,15.35,00:15,BGV,BGV 2,EXTERNAL BILLET,EXTERNAL BILLET,COBBLE IN BGV 2 STAND 20 DEL GUIDE DUE TO CHIPS JAMMED (BAD MATERIAL).HEAT NO - B 189869 (1C+2H),2024-01-07,2024-01-07 13:21:32,2024-01-07 13:36:53,related,[239],437,12 mm,,,2024-07-01 13:21:00,2024-07-01 13:36:00,15,BGV 2,COBBLE IN BGV 2 STAND 20 DEL GUIDE DUE TO CHIPS JAMMED (BAD MATERIAL).HEAT NO - B 189869 (1C+2H),"CHIPS REMOVED, COBBLE REMOVED AND MILL STARTED",COBBLE DUE TO CHIPS IN BGV LINE 1 DELIVERY IN #18,CHIPS CARRY OVER AND STUCK,,,,CHIPS TO BE REMOVED ON REGULAT INTERVAL,"1. FREQUENCY OF CHIPS CHECKING TO BE PLANNED
2. RANDOM CHECK FOR CHIPS REMOVAL IN MILL TO BE ENSURED BY AREA INCHARGE",,,DONE ,,2024-01-07,2024-01-07 13:21:00,2024-01-07 13:36:00,2024-01-07 00:00:00
17,2024-01-10 00:00:00,16 mm,165X165,1,1.0,2024-10-01 10:13:44,2024-10-01 10:42:00,28.266666666666666,00:28,MILL AREA,PINCH ROLL 1_2,ELECTRICAL,Drive Tripped,COBBLE IN LINE.2 DUE TO CONTROL  MCB TRIP. (1H).,2024-01-10,2024-01-10 10:13:44,2024-01-10 10:42:00,related,[241],440,16mm,,,10:13:00,10:42:00,28,PINCH ROLL 1_2,COBBLE IN LINE.2 DUE TO CONTROL  MCB TRIP. (1H).,GROUNDED CABLE REMOVED AND MCB MADE ON,LINE-2 PINCH ROLLS STOPPED,LUBRICATION PRESSURE FAULT,POWER SUPPLY FAILURE FOR PRESSURE TRANSMITTER,MCB TRIPPED AS CHUTE FLAP CLOSE PROXIMITY CABLE FOUND DAMAGED,,1. CABLE ISOLATED AND MCB MADE ON,1.CABLE REMOVED FROM REMOTE PANEL AS THE SIGNAL IS NOT IN USE FOR BOTH LINE-1 AND LINE-2,,,DONE ,UNSED CABLE REMOVED FROM CIRCUIT,2024-01-10,2024-01-10 10:13:00,2024-01-10 10:42:00,2024-01-10 00:00:00
18,2024-01-10 00:00:00,16 mm,140X140,1,1.0,2024-10-01 15:18:00,2024-10-01 15:30:48,12.8,00:13,SMS,BGV 1,SMS SOHAR STEEL,BILLET QUALITY NOT OK,COBBLE IN BGV.1 DUE TO CHIPS.(1C+1H),2024-01-10,2024-01-10 15:18:00,2024-01-10 15:30:48,related,[242],441,16mm,,,15:18:00,15:30:00,13,BGV 1,COBBLE IN BGV.1 DUE TO CHIPS.(1C+1H),"CHIPS REMOVED, COBBLE REMOVED AND MILL STARTED",COBBLE DUE TO CHIPS IN BGV LINE 1,CHIPS CARRY OVER AND STUCK,,,,CHIPS TO BE REMOVED ON REGULAT INTERVAL,"1. FREQUENCY OF CHIPS CHECKING TO BE PLANNED
2. RANDOM CHECK FOR CHIPS REMOVAL IN MILL TO BE ENSURED BY AREA INCHARGE",,,DONE ,,2024-01-10,2024-01-10 15:18:00,2024-01-10 15:30:00,2024-01-10 00:00:00
19,2024-01-10 00:00:00,16 mm,140X140,1,1.0,2024-10-01 15:30:48,2024-10-01 15:50:48,20.0,00:20,MILL AREA,STAND 1,OPERATION,HEAD TWISTED,NEXT BILLET BITE IN STD.1 DUE TO MANUAL ERROR. WHENEVER COBBLE IN BGV.1.,2024-01-10,2024-01-10 15:30:48,2024-01-10 15:50:48,related,[243],442,16mm,,,15:30:00,15:50:00,20,STAND 1,NEXT BILLET BITE IN STD.1 DUE TO MANUAL ERROR. WHENEVER COBBLE IN BGV.1.,COBBLE REMOVED AND MILL STARTED,COBBLE AT BGV LINE-1,BILLET STOPPED AT MILL ENTRY ROLLER TABLE,OPERATOR MANUALLY FEED THE BILLET AT STAND-01 FROM LCS ,MISCOMMUNICATION BETWEEN BETWEEN FIELD OPERATOR AND PULPIT OPEARTOR,,1. FIELD OPERATOR HAS TO HOT OUT THE BILLET WHICH STOPS AT MILL ENTRY IRRESPECTIVE OF ANY  REASONS,"1. SIREN AND ROTATING LIGHT TO BE FIXED NEAR MILL ENTRY AREA , WHEN ANY COBBLE HAPPENED THERE WILL BE SIREN AND LIGHT WILL BLINK",,,DONE ,NEW SIREN AND REVOLVING LIGHT FIXED NEAR STAND-1/2  LCS ,2024-01-10,2024-01-10 15:30:00,2024-01-10 15:50:00,2024-01-10 00:00:00
20,2024-02-04 00:00:00,10 mm,150X150,1,1.0,2024-04-02 14:16:48,2024-04-02 14:58:27,41.65,00:42,MILL AREA,CONVEYOR TROUGH AFTER STAND-14,OPERATION,CHIPS INSIDE TROUGH,COBBLE DUE TO CHIPS JAMMED IN STAND 14 EXIT PIPE  TROUGH SO METAL BROKEN IN LINE 2. (HEAT NO- B190612)(1C+1H). STAND 8 PASS AND RE GUIDE CHANGED.,2024-02-04,2024-02-04 14:16:48,2024-02-04 14:58:27,related,[273],519,10 mm,,,14:16:00,14:58:00,42,CONVEYOR TROUGH AFTER STAND-14,COBBLE DUE TO CHIPS JAMMED IN STAND 14 EXIT PIPE  TROUGH SO METAL BROKEN IN LINE 2. (HEAT NO- B190612)(1C+1H). STAND 8 PASS AND RE GUIDE CHANGED.,"COBBLE REMOVED,#8 RE-GUIDE AND PASS CHANGE  AND TROUGH CHANGE AND MILL STARTED ",COBBLE BETWEEN #14 TO CVR & WB 1,SHAVING ACCUMULATION IN LINE2 TROUGH ,SMALL METALLICS PIECE FOUND,,,1.TROUGH CHANGE AND COBBLE CLEARED ,"
1.CHIPS REMOVAL PRACTICE SHOULD BE FOLLOWED STRICTLY  IN EVERY PLANNED DELAY AND SECTION CHANGE 
2.TROUGH ALIGNEMT NEED TO ENSURE EVERY SECTION CHANGE .",,,DONE ,,2024-02-04,2024-02-04 14:16:00,2024-02-04 14:58:00,2024-02-04 00:00:00
21,2024-02-06 00:00:00,12 mm,165X165,1,1.0,2024-06-02 01:30:16,2024-06-02 01:40:16,10.0,00:10,SMS,SMS,SMS,BILLET QUALITY NOT OK,"HEAD COBBLE IN LINE 2 DUE TO BAD METAL.( HOT CHARGE, HEAT NO - 2401060)(1C+1H)",2024-02-06,2024-02-06 01:30:16,2024-02-06 01:40:16,related,[275],523,12 mm,,,01:30:00,01:54:00,24,SMS,"HEAD COBBLE IN LINE 2 DUE TO BAD METAL.( HOT CHARGE, HEAT NO - 2401060)(1C+1H)",COBBLE STARTED AND MILL STARTED,HEAD COBBLE IN LINE 2,SLAG INGRESSION FOUND AND MATERIAL WAS DEFORMED,BAD MATERIAL,,,,MAIL WITH ICTURE TO BE SHARED WITH SMS,,,DONE ,,2024-02-06,2024-02-06 01:30:00,2024-02-06 01:54:00,2024-02-06 00:00:00
