,sr,section,date,datetime_from,datetime_to,delay_minutes,equipment,problem_description,restart_steps,one_year,two_year,three_year,four_year,five_year,corrective_action,preventive_action,status,actual_action_taken,capa_event_date,capa_start_time,capa_end_time,capa_event_time
20,52,32MM,2023-08-20 00:00:00,20/08 08:48:56,20/08 10:14:02,85,DIVIDE SHEAR CL," COBBLE AFTER STAND 14 DUE TO IMPROPER CUT AT DIVIDING SHEAR 3, POSITION FOUND WRONG IN SHEAR- 3. (1C).","1.SHEAR-3 RESET DONE AND MILL STARTED 
2. BROKEN LINER PLATE OF SPINDLE CARRIER REPLACED BY SPARE ONE 
3. AIR OIL DAMAGED HOSE AND FITTING REPLACED WITH NEW ONE 
4. FIXED DERAILED STAND AGAIN ON POSITION ",SHEAR-3 RESET DONE AT 180 DEGREE BY OPERATOR,OPERATOR MAKING RESET OF CVRD LATERAL LINE AND BYMISTAKE RESET SH-3,BOTH RESET BUTTONS ARE  NEARBY IN THE SAME PAGE,,,SHEAR-3 RESET BUTTON WILL BE GIVEN IN SEPARATE PAGE,"1. RESET PAGE WILL BE SEPARATED FROM LATERAL LINE 
2. ALL DIVIDING SHEAR RESET ACTIVITY WILL COME IN THE SECTION CHANGE JOBLIST 
3. CP-1 OPERATOR WILL ENSURE THE RESET OF ALL SHEARS DURING SECTION CHANGE WITH PHYSICAL VERIFICATION AT SITE 
4.CAMERA TO BE PROVIDED TO VIEW THE POSITION OF BLADES IN SHEAR-3 
5. IF BYMISTAKE ANY BUTTON ON HMI IS CLICKED /PRESSED BY OPERATOR ,HE HAS TO IMMIDEATELY INFORM TO ELECTRICAL SHIFT IN CHARGE",DONE ,,,2023-08-20 08:48:56,2023-08-20 10:14:02,2023-08-20
21,54,32MM,2023-08-20 00:00:00,20/08 19:15:10,20/08 20:13:33,58,APRON LINE AREA,UNDERSHOOT,COBBLE REMOVED & SIDE WALL NO_02 PLATE POSITIONED MILL STARTED ,SECOND PIECEC HIT IN DIVERTER,DIVERTER WAS DE-RAILED FROM ITS POISTION,DIVERTER LOCKING BASE BEND,SPARE NOT AVAILABLE SO WELDED,,"1. CHECK LIST TO BE IMPLEMENTED
2.PROCUREMENT FOR NEW ONE ",DURING SIDE LINE INSPECTION WILL BE DONE AS PER CHECKLIST,DONE ,,,2023-08-20 19:15:10,2023-08-20 20:13:33,2023-08-20
22,56,32MM,2023-08-20 00:00:00,20/08 22:00:00,20/08 23:13:19,73,COOLING BED,COOLING BED HYDRAULIC TRIP. ALL BAR OVERSHOOT HAPPEND.,"OVERSHOOT COBBLE ON COOLING BED CLEARED ,INDIVISUAL PUMP PRESSURE SETTING DONE TO 130 BAR & MILL STARTED ",OVERSHOOT,COOLING BED HYDRAULIC TRIPPED ,PRESSURE DROPPPED TO 79 BAR,DURING PRESSURE SETTING PRESSURE ADJUSTED TO 100 BAR ,WRONG SEQUENCE OF SETTING ,1)INDIVISUAL PUMP PRESSURE SETTING DONE ,"1)TRAINING TO BE PROVIDED FOR HDRAULIC PRESSURE SETTING
2.SOP TO BE IMPLEMENTED",DONE ,,,2023-08-20 22:00:00,2023-08-20 23:13:19,2023-08-20
23,60,40MM,2023-08-22 00:00:00,22/08 18:39:32,22/08 19:25:40,46,CONVEYOR TROUGH AFTER STAND-14,DELIVERY GUIDE KNOCKPUT,"COBBLE REMOVED , DELIVERY GUIDE CHANGED , TROUGH CHANGED & MILL STARTED",DELIVERY GUIDE KNOCKOUT,DELIVERY GUIDE FOUND MISALIGN ,,,,"DELIVERY GUIDE CHANGED & WATER HEADER, TRUFF CHANGED ", MAKE M10X3mm DRILLING IN GUDE INSERT FOR PROPER FIXING OF GRUB SCREW  2. ENSURE THE TIGHTNESS OF AUT CLAMP,DONE ,,,2023-08-22 18:39:32,2023-08-22 19:25:40,2023-08-22
24,63,10MM,2023-08-23 00:00:00,23/08 17:18:39,23/08 17:46:28,28,TWIN CHANNEL,MATERIAL HIT AT TWC 2A,COBBLE REMOVED & MILL STARTED,MATERIAL HIT AT TWC 2A,AT APPROX 75 METRE AND PR4_1 SPEED DROPPAGE,TWC POSITION WAS IN CLOSE POSITION AS PER IIBA  ANALYSIS,,,"1. TWC FLAPPER DROP GUIDE CHECKED 
2. TWC2A CYCLE TEST DONE","1. TWC  CHECKING BEFORE 8MM/10MM TO BE FOLLOWED STRICTLY
2. CHECKING FREQUENCY TO BE REVISED",DONE ,,,2023-08-23 17:18:39,2023-08-23 17:46:28,2023-08-23
25,64,10MM,2023-08-24 00:00:00,24/08 05:20:09,24/08 05:38:59,19,OPTIMIZATION,LINE 2 LAST BAR GENERATED 14 MTR SO OVERSHOOT HAPPENED. LINE 2 CVR AUTO CHOPPING STARTED. (1/2C +1H),COBBLE REMOVED AND MILL STARTED,LAST BAR 14METRE ,OPTIMIZATION DIDNOT HAPPENED IN LINE-2 ,REMAINING LENGTH CALCULATION AFTER HMD5 NEGATIVE EDGE DIDNOT HAPPENED,FOR THIS REASON 14METRE LAST CUT,,"1. OPTIMIZATION RESET DONE AND MILL STARTED
2. ALL HMD CLEANING DONE RELATED TO OPTIMIZATION
","1. FILE TO BE SENT TO DANIELI FOR FURTHER ANALYSIS 
",DONE ,VARIATION IN BILLET LENGTH,,2023-08-24 05:20:09,2023-08-24 05:38:59,2023-08-24
26,70,13MM,2023-08-25 00:00:00,25/08 05:50:59,25/08 06:31:59,41,CONVEYOR TROUGH AFTER STAND-14,METAL HIT IN TROUGH,COBBLE REMOVED AND MILL STARTED,FIRST ENTRY FUNNEL OF TROUGH MISALLINED ,MOUNTING PLATE OF FUNNEL FOUND BEND,TROUGH FOUND MORE HEIGHT ,,,"1. STAND14 EXIT TROUGH REPLACED WITH SPARE ONE 
2. ENTRY GUIDE ALLGNMENT DONE TAKEN UP)
3. BASE LOCK MADE PROPER OF EXIT TROUGH","1. FUNNEL MOUNTING PLATE TO BE STRAIGHTENED
2. LOCKING ARRANGEMENT TO BE MADE PROPER DURING MONTHLY SHUTDOWN 
3. NEW LOCKING PIN ARRANGEMENT TO BE DONE ",DONE ,,,2023-08-25 05:50:59,2023-08-25 06:31:59,2023-08-25
27,1005,12 mm,2024-09-09 00:00:00,13:00:00,13:15:00,15,BGV2,COBBLE IN LINE 2 BGV DUE TO LOOPER HEIGHT VARITIONS. (1C),,,,,,,,,,,,2024-09-09 13:00:00,2024-09-09 13:15:00,2024-09-09
28,75,16MM,2023-08-28 00:00:00,28/08 11:54:38,28/08 12:20:55,26,BGV2,COBBLE IN BGV 2 DUE TO HEAD STUCK IN TROUGH BETWEEN BGV AND WATER BOX DUE TO BAD METAL. (1C),,,,,,,,,PENDING,,,2023-08-28 11:54:38,2023-08-28 12:20:55,2023-08-28
29,76,14MM,2023-08-29 00:00:00,29/08 05:00:01,29/08 05:20:44,21,MILL ENTRY  CHAIN TRANSFER,UNDERSHOOT IN TWC.1B DUE TI INTERBILLET TIME.(1H),COBBLE REMOVED AND MILL STARTED,DCVAH_2 TAKEN WRONG CYCLE AT HEAD OF BILLET,GAP BETWEEN TAIL AND HEAD OF NEW BILLET WAS 2.8 SEC AT HMD-23 LINE-2,INTERBILLET GAP WAS 1.7 SEC,BILLET NOT PROPERLY PLACED AT MILL ENTRY ROLLER TABLE,DUE TO THIS TRAVELLING TIME OF LAST BILLET TOOK 8 SECS MORE TO REACH STAND-01,"1. INTERBILLET TO BE MAINTAINED MORE THAN 3.5 SEC AT STAND01 
2. OPERATOR TO GIVE EXTRA CHOP IN HEAD OF BILLET IF BILLET LESS THAN 2.5 SEC
",1. LOGIC TO BE DISCUSSED WITH DANIELI  TO GIVE EXTRA GAP CHOP CONSIDERING INTERBILLET GAP TIME AND  CHECK IF ANY FEASIBILLTY OF GAP CHOPPING IN CVR FOR BOTH LINES,DONE ,INTERBILLET TO BE MAINTAINED MORE THAN 4 SECONDS,,2023-08-29 05:00:01,2023-08-29 05:20:44,2023-08-29
30,77,14MM,2023-08-29 00:00:00,29/08 12:50:23,29/08 13:05:52,15,WATER BOX 1_1,HEAD HIT AT COOLER,COBBLE REMOVED AND MILL STARTED,HEAD HIT AT COOLER  NUMBER 5 LINE1 WB1,OBSTRUCTION IN LINE  DUE TO SMALL METAL PIECE ,CHIPS STUCK AT  HEAD ,,,,,PENDING,,,2023-08-29 12:50:23,2023-08-29 13:05:52,2023-08-29
31,80,10MM,2023-09-01 00:00:00,2023-01-09 02:58:00,2023-01-09 03:12:00,14,PINCH ROLL 2_2,MATERIAL BROKEN IN PR-2,COBBLE REMOVED & MILL STARTED ,MATERIAL SLIPPED IN PR-2,PRESSURE FOUND 4.1BAR ,SOP NOT FOLLOW ,,,,STRICKLY FOLLOW SOP ,DONE ,,,2023-09-01 02:58:00,2023-09-01 03:12:00,2023-09-01
32,81,10MM,2023-09-01 00:00:00,2023-01-09 03:18:00,2023-01-09 03:35:00,17,PINCH ROLL 2_2,MATERIAL BROKEN IN PR-2,COBBLE REMOVED & MILL STARTED ,MATERIAL SLIPPED IN PR-2,PRESSURE FOUND 4.1BAR ,SOP NOT FOLLOW ,,,,STRICKLY FOLLOW SOP ,DONE ,,,2023-09-01 03:18:00,2023-09-01 03:35:00,2023-09-01
33,85,8MM,2023-09-02 00:00:00,2023-02-09 13:23:00,2023-02-09 13:55:00,32,PINCH ROLL 3_1,METAL BROKEN IN LINE 1. (1/2C),COBBLE REMOVED & MILL STARTED ,METAL BROKEN IN LINE 1. (1/2C),PINCH ROLL-2 BOTTOM RING BROKEN ,CLOSE PARTING NOT OK ,MANUAL MISTAKE ,,TRAINING TO BE GIVEN ,TRAINING TO BE GIVEN ,DONE ,,,2023-09-02 13:23:00,2023-09-02 13:55:00,2023-09-02
34,86,8MM,2023-09-02 00:00:00,2023-02-09 13:57:00,2023-02-09 14:24:00,28,PINCH ROLL 2_1,COBBLE DUE TO PINCH ROLL 2 LINE 1 BOTTOM RING BROKEN. (1/2 C). PINCH ROLL 2 RING CHANGED.,COBBLE REMOVED & MILL STARTED ,METAL BROKEN IN LINE 1. (1/2C),PINCH ROLL-2 BOTTOM RING BROKEN ,CLOSE PARTING NOT OK ,MANUAL MISTAKE ,,TRAINING TO BE GIVEN ,TRAINING TO BE GIVEN ,DONE ,,,2023-09-02 13:57:00,2023-09-02 14:24:00,2023-09-02
35,87,8MM,2023-09-02 00:00:00,2023-02-09 14:55:00,2023-02-09 15:18:00,24,TWIN CHANNEL 1 B,COBBLE DUE TO BAR KNOCKED IN TWIN CHANNEL 1B.,COBBLE REMOVED & MILL STARTED ,COBBLE DUE TO BAR KNOCKED IN TWIN CHANNEL 1B.,AT 72MTR GAP BETWEEN WATER JACKET & FLAPPER ,WATER JACKET MISALIGNED ,SUPPORT LOCKING BROKEN ,,1)WATER JACKET ALIGNED 2) WATER JACKET & FLAPPER GAP CLOSED BY WELDING FLAPPERS ,1)WATER JACKET COMPLETE ALIGNEMENT TO BE DONE 2) FLAPPER GAP TO BE CLOSED 3) WATER JACKET EXTRA LOCKING TO BE PROVIDED 4)BEFORE 8MM ROLLING TWC WATER JACKETS & FLAPPER GAPS TO BE CHECKED ,PENDING,ANNUAL SHUTDOWN,,2023-09-02 14:55:00,2023-09-02 15:18:00,2023-09-02
36,89,8MM,2023-09-03 00:00:00,2023-03-09 02:23:00,2023-03-09 02:55:00,32,TWIN CHANNEL 1 B,COBBLE AT TWIN CHANNEL 1 B DUE TO BAR HIT,COBBLE REMOVED & MILL STARTED ,COBBLE DUE TO BAR KNOCKED IN TWIN CHANNEL 1B.,AT 72MTR GAP BETWEEN WATER JACKET & FLAPPER ,WATER JACKET MISALIGNED ,SUPPORT LOCKING BROKEN ,,1)WATER JACKET ALIGNED 2) WATER JACKET & FLAPPER GAP CLOSED BY WELDING FLAPPERS ,1)WATER JACKET COMPLETE ALIGNEMENT TO BE DONE 2) FLAPPER GAP TO BE CLOSED 3) WATER JACKET EXTRA LOCKING TO BE PROVIDED 4)BEFORE 8MM ROLLING TWC WATER JACKETS & FLAPPER GAPS TO BE CHECKED ,PENDING,ANNUAL SHUTDOWN,,2023-09-03 02:23:00,2023-09-03 02:55:00,2023-09-03
37,90,8MM,2023-09-03 00:00:00,2023-03-09 04:11:00,2023-03-09 04:29:00,18,BGV 2,COBBLE AT BGV2 DUE TO BAD MATERIAL,,,,,,,,,DONE ,,,2023-09-03 04:11:00,2023-09-03 04:29:00,2023-09-03
38,91,8MM,2023-09-03 00:00:00,2023-03-09 09:06:00,2023-03-09 09:26:00,20,TWIN CHANNEL 1 B,COBBLE DUE TO LAST PIECE UNDERSHOOT IN LINE 1B .,COBBLE REMOVED & MILL STARTED ,COBBLE DUE TO BAR KNOCKED IN TWIN CHANNEL 1B.,AT 72MTR GAP BETWEEN WATER JACKET & FLAPPER ,WATER JACKET MISALIGNED ,SUPPORT LOCKING BROKEN ,,1)WATER JACKET ALIGNED 2) WATER JACKET & FLAPPER GAP CLOSED BY WELDING STOPPER,1)WATER JACKET COMPLETE ALIGNEMENT TO BE DONE 2) FLAPPER GAP TO BE CLOSED 3) WATER JACKET EXTRA LOCKING TO BE PROVIDED 4)BEFORE 8MM ROLLING TWC WATER JACKETS & FLAPPER GAPS TO BE CHECKED ,PENDING,ANNUAL SHUTDOWN,,2023-09-03 09:06:00,2023-09-03 09:26:00,2023-09-03
39,92,8MM,2023-09-03 00:00:00,2023-03-09 11:34:00,2023-03-09 11:51:00,17,WATER BOX 2_2,COBBLE IN LINE 2 BGV DUE TO MATERIAL HIT SOMEWHERE IN WATERBOX.,,,,,,,,,DONE ,,,2023-09-03 11:34:00,2023-09-03 11:51:00,2023-09-03
40,93,8MM,2023-09-03 00:00:00,2023-03-09 14:57:00,2023-03-09 16:28:00,91,TWIN CHANNEL 1 A,COBBLE DUE TO TWIN CHANNAL 1A DRIVE GOES IN FAULT.( ENCODER AND BREAK CHANGED.),"ENCODER COUPLING CHANGED, BREAK ASSM. CHANGED & MILL STARTED",TWIN CHANNAL 1A DRIVE GOES IN FAULT.,ENCODER COUPLING SLIPPAGE  & GRUB SCREW LOOSE,DURING ASD IT'S CHANGED & KEY SLOT WAS NOT THERE,KEY SLOT WAS A KAIZEN & ITS NOT MENTIONED IN CHECKLIST & SOP,,2.GRUB SCREW CHECKING FREQUENCY WILL BE DONE IN 15 DAYS,"1.ALL EQUIPMENT KAIZEN MUST BE ACCOMPLISHED IN CHECKLIST OR SOP
2.PM WILL BE CHANGE FROM 03MONTHS TI 01 MONTH",DONE ,,,2023-09-03 14:57:00,2023-09-03 16:28:00,2023-09-03
41,100,8MM,2023-09-05 00:00:00,2023-05-09 13:46:00,2023-05-09 13:56:00,10,BGV 1,COBBLE AT BGV 1 DUE TO BAD MATERIAL,,,,,,,,,DONE ,,,2023-09-05 13:46:00,2023-09-05 13:56:00,2023-09-05
42,102,16MM,2023-09-07 00:00:00,2023-07-09 14:00:00,2023-07-09 14:24:00,25,STAND-14,LINE 1 MATERIAL HEAD COBBLE AT STAND 14 ENTRY GUIDE DUE TO ANONYMOUS PIECE FOUND IN GUIDE..,COBBLE REMOVED AND MILL STARTED,COBBLE AT STAND-14 ENTRY GUIDE,ONE SMALL PIECE OF METAL APPROX 10MM*50MM FOUND AT ENTRY GUIDE,MAY BE FALLEN FROM STAND-13/14 TROUUGH OR STAND-14 STRUCTURE FROM TOP,,,"1. TRAINING TO GIVEN TO ALL  ROLLERS NOT TO KEEP, ANY MATERIALS IN TROUGH
2. STAND-14 TOP PLATFORM TO BE CHECKED","1. ALL VERTICAL STANDS PLATFORM TO BE CHECKED
2. ALL LOOPER TO BE CHECKED PROPERLY FOR ANY ANNONYMOUS MATERIAL NOT TO BE KEPT ANY WHERE",DONE ,,,2023-09-07 14:00:00,2023-09-07 14:24:00,2023-09-07
